=== Kernel Summary (sorted by cuda_time_total) ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us       8.177ms       110.76%       8.177ms       8.177ms             1  
           _kernel_linesearch_c486_0_kernel_1_range_for         0.00%       0.000us         0.00%       0.000us       0.000us       1.342ms        18.18%       1.342ms     134.201us            10  
             func_broad_phase_c400_0_kernel_2_range_for         0.00%       0.000us         0.00%       0.000us       0.000us     862.908us        11.69%     862.908us     862.908us             1  
add_inequality_constraints_c466_0_kernel_3_range_for...         0.00%       0.000us         0.00%       0.000us       0.000us     757.148us        10.26%     757.148us     757.148us             1  
_kernel_newton_only_nt_hessian_c496_0_kernel_1_range...         0.00%       0.000us         0.00%       0.000us       0.000us     647.195us         8.77%     647.195us      64.720us            10  
_kernel_newton_only_nt_hessian_c496_0_kernel_3_range...         0.00%       0.000us         0.00%       0.000us       0.000us     503.967us         6.83%     503.967us      50.397us            10  
                kernel_step_1_c502_0_kernel_5_range_for         0.00%       0.000us         0.00%       0.000us       0.000us     413.758us         5.60%     413.758us     413.758us             1  
      _kernel_update_gradient_c498_0_kernel_1_range_for         0.00%       0.000us         0.00%       0.000us       0.000us     408.767us         5.54%     408.767us      40.877us            10  
_kernel_update_constraint_cost_c494_0_kernel_1_range...         0.00%       0.000us         0.00%       0.000us       0.000us     242.304us         3.28%     242.304us      24.230us            10  
                kernel_step_2_c504_0_kernel_9_range_for         0.00%       0.000us         0.00%       0.000us       0.000us     230.559us         3.12%     230.559us     230.559us             1  
              func_solve_init_c472_0_kernel_7_range_for         0.00%       0.000us         0.00%       0.000us       0.000us     168.862us         2.29%     168.862us     168.862us             1  
              func_solve_init_c472_0_kernel_5_range_for         0.00%       0.000us         0.00%       0.000us       0.000us     153.920us         2.08%     153.920us     153.920us             1  
_kernel_update_constraint_forces_c490_0_kernel_1_ran...         0.00%       0.000us         0.00%       0.000us       0.000us     144.767us         1.96%     144.767us      14.477us            10  
               kernel_step_1_c502_0_kernel_10_range_for         0.00%       0.000us         0.00%       0.000us       0.000us     144.704us         1.96%     144.704us     144.704us             1  
             func_solve_init_c472_0_kernel_10_range_for         0.00%       0.000us         0.00%       0.000us       0.000us     135.136us         1.83%     135.136us     135.136us             1  
             func_solve_init_c472_0_kernel_12_range_for         0.00%       0.000us         0.00%       0.000us       0.000us     130.687us         1.77%     130.687us     130.687us             1  
           func_sort_contacts_c408_0_kernel_1_range_for         0.00%       0.000us         0.00%       0.000us       0.000us     119.231us         1.62%     119.231us     119.231us             1  
